sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
61.541445968416916,122.21301826241618,1.1295484312978736,6.55742960881853e-07,2.780682137334246,3.0303205676871144e-07,5.7321598718647175,-8.131268423390776e-07,6.355369815014381
57.77297256423341,90.14374075238004,2.2200802366761416,-5.057360993699989e-07,1.551651848969299,-4.1002615832512503e-07,6.429226777890539,5.332966301432567e-07,8.412289997130003
60.22003350612649,86.63402385782743,0.8552937278630223,1.2888690198982926e-06,2.0400615222486835,8.678238564199332e-07,3.2012272175281717,-1.70526086183013e-07,9.363582986741736
59.13428927689196,89.93609902320507,1.1122627337861988,6.197198976237779e-07,3.907251155662234,-3.808485951426782e-07,2.812117332810313,1.0146519004129409e-06,5.320243273664135
59.46740433212174,79.80799570108779,1.1110358455867926,8.245700031762963e-07,3.826940388032695,-3.445179880696953e-07,3.2766380825023074,1.130999986795894e-06,4.818942185915451
59.235494998007816,74.07262160656872,1.2093529111690782,6.446880215251573e-07,3.4291330163415625,-3.3251784139623753e-07,3.1010632856479914,7.474017930302032e-07,4.587703571809465
57.055300496807156,73.7683964820914,1.0460414525545645,-1.5256056519753618e-07,2.808438812477761,1.4483453313226836e-07,3.486613070584137,-1.9189422941420443e-07,6.908614561156913
57.97020798676978,87.82043177645104,1.7077454962834695,1.7194123121800534e-06,5.104554530555473,6.666720275426613e-07,10.89454541568462,-6.301560556495974e-07,6.528422459707551
60.19844859291138,119.3421054643326,1.4248334065661208,-2.9709741036334543e-07,5.8411554201727425,6.825592455126155e-07,6.483322439763875,-1.3050951269767724e-07,5.031970472601447
60.38309406549189,114.90765739211794,1.4700797365684597,-9.295168706257018e-07,6.523678289948528,6.661926283615814e-07,4.518834652331782,1.760885273615385e-07,5.5012128783763625
61.148384499316336,118.25476625955395,1.444418247336384,7.051868826046736e-08,6.0257724448800785,7.131311612935094e-07,3.4083814344244447,-3.7509354485427107e-08,6.413346245254712
57.37473915926987,111.34998874033188,1.624212949766756,4.0296675685060216e-08,3.390351673705661,-6.784430012982486e-07,6.194728998255469,-1.7415714789643675e-07,6.1410717379360165
61.17634872765816,97.29306713909031,1.3983188462668954,-6.486989155470806e-07,5.342062532703411,8.57081330011012e-07,2.7872473386433803,-3.174247716494756e-07,7.366194151306118
60.861191144940314,91.64772736276737,1.2965760463507772,-1.1535774247532062e-07,6.698825457222527,3.537444556588485e-07,2.9541600749499133,-4.3789583300103973e-07,7.7104372719710685
62.01869422336491,115.2875008971514,1.2583367538330168,-8.82291198842288e-09,4.053831524268399,-1.6046144888166455e-06,2.6270283166649278,-5.008412211295521e-07,9.415082150015145
56.767547449640695,119.91793833057876,1.304127245543378,-9.202250376884775e-07,3.4965996719107224,-1.5337719711619276e-06,2.4787513603271196,-1.3217446992624602e-06,8.042076395717011
66.49848122557415,78.58831996084815,1.4317490787478877,7.587626861397168e-07,4.069619414256437,1.2465309473223722e-06,5.137543610793334,1.4111928424446673e-06,9.702910011026795
65.72248845722433,80.80974241483514,1.4890906666109947,1.369809365430929e-06,3.7174893390707853,1.32886063821864e-06,5.313590168084242,1.4457747993412058e-06,9.541622583358748
66.10237689185459,75.39890289158464,1.360616883609803,1.3365085358535104e-06,2.9574562889829186,1.1631243343030634e-06,6.211152438496461,1.0728786934287834e-06,11.36649110276362
65.93746908880335,80.6766654527713,1.3404930529204273,1.1657622442305179e-06,3.263507370052299,4.084424248676278e-07,7.05137270222654,9.726108034028816e-07,13.59897519445255
