walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
23	3.477810394e-01	9.649718092e-02	5.919825651e-01	1.372341434e-02	3.908873870e-01	4.386054833e-01	1.474982126e-01	1.388792539e+00	7.863999827e-01	7.619784897e-01	1.420521181e+00	-7.514431911e-01	-6.181363629e+04	-8.774872801e+00

24	9.411507493e-01	9.219472196e-01	9.884969403e-01	7.144044973e-01	3.564642372e-01	9.430793177e-01	6.801822066e-01	3.137628271e+00	-9.490813802e-01	1.951828514e+00	2.915896638e+00	-9.620457630e-01	-6.626089976e+05	-1.615347592e+01

25	1.038397153e-02	5.574323842e-01	8.842217545e-01	4.339762976e-01	9.559304764e-01	-4.709335988e-01	1.068877382e+00	1.600130201e+00	-1.044411570e+00	5.479532045e-01	1.379803234e+00	1.301414813e+00	-3.333442137e+03	-1.161903324e+01

26	5.379501943e-01	6.310806637e-01	6.386159574e+00	4.681925365e-02	5.419512466e-01	-5.655047270e-01	4.865509903e-01	8.893789147e-01	5.471114337e-01	1.500698635e+00	5.107945803e+00	2.585449485e-01	-2.380984746e+05	-1.564929487e+01

27	8.116813210e-01	4.547125790e-01	4.429471924e-01	2.984271766e+00	3.182001512e-01	1.953292625e-01	1.295800578e+00	1.327271744e+00	-2.059637674e-01	2.350059230e+00	2.025929485e+00	4.276704892e-02	-4.089191899e+05	-1.506581425e+01

28	3.814780617e-01	1.921718559e+00	9.179532297e-01	3.099201347e-01	2.433647650e-01	-5.414871162e-01	1.929981131e+00	1.385485539e+00	2.523881358e-01	8.881830253e-01	4.219967465e-01	1.549958778e+00	-5.499310521e+05	-1.289085715e+01

29	7.939046593e-01	1.211030915e+00	2.198850967e+00	4.050682037e-01	5.123930642e-01	4.850108440e-01	3.727844505e-01	6.494718613e-01	3.526929077e-01	2.502714051e+00	2.125609429e-01	-3.582615518e-01	-1.189401190e+06	-1.172192034e+01

30	1.851273525e+00	1.931418520e-01	6.332967979e+00	1.261169577e-01	2.098789196e-01	2.183674366e+00	2.778805407e-01	3.684159557e-01	-7.034617458e-01	4.424202528e-01	8.058225283e-01	3.251450473e-01	-3.455307649e+05	-1.418833100e+01

31	3.505704732e-01	1.641214361e+00	4.892725181e-01	1.040647824e-01	1.287647526e+00	1.343162958e+00	4.102623927e-01	1.094981201e+00	2.656698649e-01	5.191327282e-01	5.274222208e+00	-1.223896494e+00	-1.912240007e+05	-1.450162042e+01

32	1.711185686e-01	6.165227638e-01	1.930483351e-01	1.923952147e+00	4.077830102e-01	-4.368450464e-01	1.568011508e+00	3.458586307e-01	-1.941495695e+00	2.018598440e+00	1.421537862e+01	7.216943605e-01	-9.553785683e+04	-1.992169382e+01

33	7.130389375e-01	3.141277343e-01	3.323867689e+00	9.379763822e-01	1.201763169e+01	-4.484993483e-01	2.468739903e-01	3.411600281e-01	1.088335376e+00	1.865211525e-01	1.012422446e+00	2.263907299e-01	-3.407743271e+05	-1.616723320e+01

34	4.226944050e+00	2.618730950e-01	3.095012558e+00	1.593085062e+00	2.000951634e+00	-1.460662383e-01	5.583921927e-01	2.476334898e-01	1.173223523e+00	3.580131421e-01	2.243634991e-01	1.134931563e-01	-1.760212812e+06	-1.566742726e+01

35	1.349070828e-01	5.083276997e-01	1.337332381e+00	7.755204908e-01	1.198794945e+00	1.048980558e+00	7.020571775e-01	3.275465550e-01	9.105534924e-01	5.358759404e-02	5.375528998e-01	3.128854182e-01	-5.113789638e+04	-9.306058354e+00

36	1.154169020e+00	1.212266168e+00	8.145738303e-01	3.982233447e-01	2.602406063e-01	5.077650337e-02	5.739914891e-01	7.099455938e-01	4.816738741e-01	4.142913895e-03	5.265320631e+00	6.552456900e-02	-1.212720159e+06	-1.232696102e+01

37	2.289589858e-02	8.479069346e-01	1.101141136e+00	7.270404188e-01	1.717865686e-01	5.428442980e-01	4.254383238e-01	2.347597079e+00	-9.142115858e-01	2.257725317e-01	3.025537913e+00	-2.128177747e-01	-4.430730882e+03	-1.227318065e+01

38	6.093574563e-01	1.083837773e+00	4.117860837e-01	1.201419019e+00	1.834281238e+00	9.881338914e-01	5.988185171e-01	1.181717957e+00	-5.834681623e-01	1.847658951e+00	6.539507126e-01	5.870218337e-01	-3.752651442e+05	-1.313044269e+01

39	6.387508753e-03	8.216786634e-02	1.885605486e+00	3.643146520e-01	1.551440520e+00	-1.888665856e-01	3.926405987e-01	3.760036545e+00	-6.111094850e-01	4.424975036e-02	3.478282187e+00	-3.982399652e-01	-2.309439289e+03	-1.308377126e+01

40	3.097169058e+00	1.492474079e-01	2.359685531e-01	3.341079473e-01	2.995817020e-01	1.283865923e+00	1.050358445e-01	1.673190787e+00	-4.617088172e-01	6.811425404e-01	2.244808995e-01	-6.987335109e-01	-7.770113414e+05	-1.155466737e+01

41	1.920346010e+00	2.678962579e-01	3.125207879e+00	8.990587326e-01	9.078898729e+00	-1.872175535e-02	3.956263953e-01	3.445482547e-01	-1.694303956e-01	1.131548472e+00	8.346451501e-01	-8.023399833e-02	-1.739123208e+06	-1.645500245e+01

42	1.169066661e+00	1.282755581e+00	4.239867601e+00	1.260489922e+00	1.341018023e+00	-6.545984928e-01	1.355282024e+00	5.922990539e-01	8.624171219e-01	6.567750777e-01	1.227291764e+00	-4.502647135e-01	-1.114823255e+06	-1.505973521e+01

43	1.638265563e+00	1.264478734e+00	2.159806725e+00	1.410263657e+00	9.980801785e-01	1.810239464e+00	2.772756802e+00	3.740798165e+00	-1.037961815e+00	9.464385255e-02	7.359588619e+00	-2.700775482e-01	-1.770616609e+06	-2.287333871e+01

44	5.309541886e-01	5.766228805e-01	8.373021567e-01	1.440696686e-01	1.252566328e+00	-1.468241487e+00	3.087106718e-01	2.532793422e-01	-2.730124191e+00	3.843110303e-01	2.184155185e+00	-1.336233938e+00	-2.541659020e+05	-1.510932535e+01

45	1.733632207e-01	1.229557926e-01	2.417989416e-01	1.150562767e+00	1.507317200e+00	-9.155968194e-01	1.532962104e+00	1.207088250e+00	-6.536422900e-01	1.470507771e+00	1.984316539e+01	-8.606218694e-01	-2.241894090e+04	-1.983150850e+01

46	2.731038438e+00	9.500939057e-02	3.435151823e+00	7.446904469e-01	3.854608592e+00	-2.004962651e-02	1.016613111e+00	2.282469794e+00	2.079501210e-01	2.396522868e-01	7.724741339e-01	-6.214066429e-01	-3.850472029e+06	-1.626248733e+01

47	4.901670826e-01	1.209244710e+00	1.046611488e-03	1.417052181e+00	1.137464134e+00	-6.940914640e-01	2.004589672e-01	1.067487593e-01	-2.020405648e-01	2.117978431e+00	2.228722531e-01	1.801423050e+00	-2.379631367e+06	-1.343769076e+01

48	4.397344262e+00	3.242439405e-01	2.247957584e+00	1.741258829e-01	4.201613493e-01	7.054272245e-01	1.533709850e+00	1.475107969e+00	1.250609849e+00	5.238572530e-01	3.430157699e-01	1.118518260e+00	-4.150563832e+06	-1.543835579e+01

49	5.573480466e-01	8.478326632e-01	4.320793817e+00	2.613642551e-01	3.679201453e-01	-4.508202492e-01	1.834438143e+00	1.527259561e+00	-3.575814159e-02	1.058770990e+00	1.442187136e+00	-5.458454961e-03	-3.268306977e+05	-1.362602279e+01
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	1.669546010e+00	7.397907161e-01	4.684260054e-01	5.278332755e-02	2.418007766e-01	7.740224330e-01	4.076056736e-01	9.664395238e-01	2.056915361e-01	6.108483231e-01	2.614006851e+00	-1.792089255e-01	-1.572327213e+06	-1.114777601e+01

3	6.226863055e-01	5.423641393e-01	2.162400683e+00	3.180638364e-01	1.085875707e+00	4.191183238e-01	3.330191426e-01	8.208544351e-01	6.107401296e-02	2.866948841e-01	1.047329269e+00	-1.008799062e+00	-2.830194379e+05	-9.961606506e+00

